	Tari Eason	Hou	F	21.59	26	18.6	38.8	19.7	8.7	38	0.842	144	0.451	50	0.38	0.482	0.52	8.4	5.3	15.4	0.8	7.1	1.35	0.42	0.77	7.1	113.7	103.5
	Anthony Edwards	Min	G	21.36	27	36.4	75.9	26.9	13.5	139	0.755	293	0.512	191	0.361	0.524	0.561	22.7	5.6	8.5	4	16.6	1.89	0.33	3.15	8.8	105.3	108.5
	Kessler Edwards	Bro	F	22.34	13	5.7	11.9	16.2	14.9	2	0.5	11	0.364	11	0.182	0.318	0.328	1.2	1.1	10.8	0.2	3.4	0.23	0.08	0.31	4.5	75.9	112.9
	Keon Ellis	Sac	G	22.93	2	1.5	3	0		0	0	0	0	0	0			0	0.5	19.7	0	0	0	0	0	0		
	Joel Embiid	Phi	C-F	28.75	18	35.8	74.6	37.6	13.8	213	0.85	313	0.575	61	0.328	0.561	0.642	33.4	9.8	16.3	4.8	26.7	1.06	1.61	4.17	13	120	101.7
	Drew Eubanks	Por	F-C	25.86	25	17.5	36.5	11.6	16.4	34	0.676	80	0.738	2	0.5	0.738	0.743	5.8	4	12.9	0.8	7	0.44	1	0.76	6.1	136.8	104.7
	Bruno Fernando	Hou	F-C	24.33	9	13.2	27.5	15.1	13.9	12	0.667	31	0.677	1	0	0.656	0.671	5.6	4.6	18.9	1.2	14.6	0.44	0.78	0.67	9.5	133.8	97.6
	Dorian Finney-Smith	Dal	F	29.61	27	31.8	66.3	12.5	10.5	21	0.667	57	0.579	147	0.333	0.522	0.532	8.4	4	7.5	1.1	5	1.07	0.48	0.93	4.2	108.6	111.5
	Malachi Flynn	Tor	G	24.59	16	10.9	22.8	21.2	10.2	11	0.909	37	0.378	37	0.486	0.554	0.583	5.8	1.2	6.1	1.1	15.8	0.38	0.06	0.56	7.2	116.2	101.8
	Simone Fontecchio	Uta	F	27.01	16	9.5	19.9	20.5	12.1	14	0.643	18	0.444	41	0.415	0.568	0.583	4.8	1.3	7.6	0.4	6.4	0.13	0.25	0.56	5.7	111.2	111.6
